File,C0,O1,O2
CAS_100-09-4,0.8080836779549,-0.8192679598593,-0.8196462738778
CAS_107-92-6,0.8189840363226,-0.8250855441389,-0.8450295448448
CAS_109-52-4,0.8223066457246,-0.8453890204411,-0.8260137713331
CAS_121-92-6,0.7974676657018,-0.7994132290953,-0.8003409617085
CAS_127-17-3,0.6250162459171,-0.7554785374628,-0.7573099060973
CAS_1498-96-0,0.8084682266621,-0.820324505129,-0.8196335591265
CAS_2516-93-0,0.756286007425,-0.8031116704921,-0.8230389610482
CAS_2529-39-7,0.804741239997,-0.8197717820861,-0.80764098441
CAS_3400-45-1,0.7966133348515,-0.8303887442368,-0.8244156265376
CAS_372-09-8,0.8512464426367,-0.7995519546179,-0.8036479602166
CAS_50-21-5,0.7366025199404,-0.7987261895163,-0.7935768240799
CAS_5438-19-7,0.808485949205,-0.8194502705182,-0.8203699077714
CAS_54497-00-6,0.7562104008679,-0.802517763381,-0.823201687626
CAS_5699-58-1,0.6295401199383,-0.7463537767027,-0.7472398514252
CAS_586-38-9,0.7927571232333,-0.8092779364428,-0.8098066973569
CAS_619-65-8,0.7903972932166,-0.8003205214164,-0.799987532929
CAS_625-75-2,0.828814551208,-0.7813673690198,-0.7783586165093
CAS_64-19-7,0.8478872232478,-0.8400939020306,-0.8462179632522
CAS_65-85-0,0.7980258722718,-0.8119481067855,-0.8119480671252
CAS_75-98-9,0.813756477613,-0.8333349850121,-0.8172007297522
CAS_79-09-4,0.8148282100524,-0.8452591827042,-0.8204658977057
CAS_79-10-7,0.8191060208801,-0.8216958587749,-0.8206556751729
CAS_79-14-1,0.743459628798,-0.8005275384096,-0.7994988919699
CAS_86-55-5,0.8025504613344,-0.808770434939,-0.8049897980562
CAS_98-89-5,0.8118596555005,-0.8402215546462,-0.8293553963194
CAS_99-94-5,0.8016077684175,-0.8158038490946,-0.8155150733287
CAS_99-96-7,0.8086668719325,-0.8201999990346,-0.8202436759034
